KEY,en-US,fr-FR,WorkaroundLocalization - NE PAS SUPPRIMER CE TEXTE
FA_SDL_EDU6_NAME,Residents of the Latin Quarter,Les Habitants du Quartier Latin,
FA_SDL_MIL1_CHIEF,Vasily,Vasily,
FA_SDL_MIL1_LORE,"Led by Vasily's iron fist, the archers of the Streltsy Militia are known the world over. They have long been employed for the security of various tsars, who appreciated them for their ability to maintain internal order and their strict discipline.","Dirigés par la main de fer de Vasily, les archers de la Milice Streltsy sont connus dans le monde entier. Ils ont longtemps été employés pour la sécurité de différents tsars, qui les appréciaient pour leur capacité à maintenir l'ordre intérieur et leur discipline stricte.",
FA_SDL_MIL1_NAME,The Streltsy Militia,La Milice Streltsy,
FA_SDL_MIL2_CHIEF,Isak,Isak,
FA_SDL_MIL2_LORE,"Line-forming tactics are the signature of the Swedish Army. Its soldiers are considered a formidable and innovative military force, as Isak is always one step ahead of its opponents.","La tactique de la formation en ligne est la signature de l'Armée Suédoise. Les soldats la composant sont considérés comme une force militaire redoutable et novatrice, car Isak veille à toujours avoir un coup d'avance sur ses opposants.",
FA_SDL_MIL2_NAME,The Swedish Army,L'armée Suédoise,
FA_SDL_MIL3_CHIEF,Diego,Diego,
FA_SDL_MIL3_LORE,"Diego and his family have fought in many battles. Pikemen, musketeers and swordsmen make up the ranks of the Tercios Infantry, making them versatile and highly combat-resistant.","Diego et les siens ont combattu dans de nombreuses batailles. Piquiers, mousquetaires et épéistes forment les rangs de l'Infanterie Tercios, la rendant polyvalente et très résistante au combat.",
FA_SDL_MIL3_NAME,Tercios Infantry,L'Infanterie Tercios,
FA_SDL_MIL4_CHIEF,Baltasar,Baltasar,
FA_SDL_MIL4_LORE,"Hailing from the German lands, the Hessian Mercenaries carry out missions in various nations. Their leader, Baltasar, is very attached to their reputation, and it's largely thanks to his skills that this faction is employed in a variety of conflicts.","Venus des terres allemandes, les Mercenaires Hessois effectuent des missions dans diverses nations. Leur chef, Baltasar, est très attaché à leur réputation. C'est principalement grâce à ses talents que cette faction est employée dans une variété de conflits.",
FA_SDL_MIL4_NAME,Hessian Mercenaries,Les Mercenaires Hessois,
FA_SDL_MIL5_CHIEF,James,James,
FA_SDL_MIL5_LORE,"James and his people are renowned for being formidable adversaries. The Highlanders have taken part in many famous battles, proving the effectiveness of their guerrilla tactics throughout the land.","James et les siens sont réputés pour être des adversaires redoutables. Les Highlanders ont participé à de bien célèbres batailles, prouvant l'efficacité de leurs tactiques de guérilla sur tout le territoire.",
FA_SDL_MIL5_NAME,Highlanders,Les Highlanders,
FA_SDL_MIL6_CHIEF,Darya,Darya,
FA_SDL_MIL6_LORE,"The Cossack Riders are a formidable force. Led by Darya, they are deployed as light cavalry, and are mobile, fast and efficient. They know dozens of guerrilla tactics, making them feared enemies.","Les Cavaliers Cosaques sont redoutablement efficaces. Dirigés par Darya, ils sont employés comme cavalerie légère, sont mobiles, rapides et efficaces. Ils connaissent des dizaines de tactiques de guérilla, ce qui en fait des ennemis craints.",
FA_SDL_MIL6_NAME,Cossack Riders,Les Cavaliers Cosaques,
FA_SDL_POL1_CHIEF,Johann,Johann,
FA_SDL_POL1_LORE,"Driven by a desire to modernize the economy and public administration, Johann founded the Partisans of Cameralism. They were not popular in every city, but their innovative approach was appreciated in the capitals of Europe.","Poussés par des envies de modernisation, d'économie et d'administration publique, Johann a fondé les Partisans du Caméralisme. Ils ne sont pas populaires dans toutes les villes, mais leur approche novatrice est appréciée dans les capitales d'Europe.",
FA_SDL_POL1_NAME,Partisans of Cameralism,Les Partisans du Caméralisme,
FA_SDL_POL2_CHIEF,Silas,Silas,
FA_SDL_POL2_LORE,"Silas and the Whigs firmly defend their opinions in different cities. They oppose various factions, and advocate religious tolerance and parliamentarianism. They are committed and fearless, and can quickly become an asset if the town's ideas and their own converge.","Silas et les Whigs défendent fermement leurs opinions dans différentes villes. Ils s'opposent à différentes factions, et prônent la tolérance religieuse ainsi que le parlementarisme. Ils sont engagés et n'ont peur de rien, pouvant rapidement devenir des atouts si les idées de la ville et les leurs convergent.",
FA_SDL_POL2_NAME,Whigs,Les Whigs,
FA_SDL_POL3_CHIEF,Cornelius,Cornelius,
FA_SDL_POL3_LORE,"The Tories favor a strong, traditional central power. Cornelius sees you as a true leader, and while he supports monarchy and royal authority, he could help you gain influence with various influential political authorities.","Les Tories sont favorables à un pouvoir central fort et traditionnel. Cornelius voit en vous un véritable dirigeant, et même s'il soutient la monarchie et l'autorité royale, il pourrait vous aider à gagner de l'influence auprès des différentes autorités politiques influentes.",
FA_SDL_POL3_NAME,Tories,Les Tories,
FA_SDL_POL4_CHIEF,Gebhard,Gebhard,
FA_SDL_POL4_LORE,"The Cartesians were formed not long ago by Gebhard. Influenced by the ideas of René Descartes, they wished to develop philosophy and science, placing reason and logic at the center of everything.","Les Cartésiens se sont formés il y a très peu de temps par Gebhard. Influencés par les idées de René Descartes, ils souhaitent développer la philosophie et les sciences, en plaçant la raison et la logique au centre de tout.",
FA_SDL_POL4_NAME,Cartesians,Les Cartésiens,
FA_SDL_POL5_CHIEF,Vassili,Vassili,
FA_SDL_POL5_LORE,"Vassili is a fervent supporter of certain popular leaders. These leaders promote progressive ideas such as education, religious tolerance and various social reforms. The Followers of the Enlightened Monarchs support these leaders, as they believe that only modern government can ensure prosperity for nations.","Vassili est un fervent défenseur de certains dirigeants populaires. Ces derniers promouvaient des idées progressistes comme l'éducation, la tolérance religieuse ou différentes réformes sociales. Les Suiveurs des Monarques Éclairés soutiennent ces dirigeants, car ils considèrent que seul un gouvernement moderne peut assurer prospérité aux nations.",
FA_SDL_POL5_NAME,Followers of the Enlightened Monarchs,Les Suiveurs des Monarques Éclairés,
FA_SDL_POL6_CHIEF,Etienne,Etienne,
FA_SDL_POL6_LORE,"Revolutionaries at heart, the Frondeurs were made up of nobles, parliamentarians and discontented people left behind. Etienne defends the natural freedoms that the people should have, denouncing royal abuses and excessive centralization. There's no guarantee that they won't provoke revolutions in your city, but they promise to put their ideals aside while they're here.","Révolutionnaires dans l'âme, les Frondeurs sont composés de nobles, parlementaires et mécontents laissés pour compte. Etienne défend les libertés naturelles que le peuple devrait avoir, dénonçant les abus royaux et la centralisation excessive. Rien n'assure qu'ils ne provoqueront pas de révolutions dans votre cité, mais ils promettent de laisser leurs idéaux de côté durant leur passage ici.",
FA_SDL_POL6_NAME,Supporters of the Fronde,Les Frondeurs,
FA_SDL_PRO1_CHIEF,André,André,
FA_SDL_PRO1_LORE,"Only recently formed, the Supporters des Croquants faction was already gathering a large following. André wanted to support the rebellious French peasants, who were revolting against the tax pressure and exploitation suffered by the local elites. Although this faction includes many nobles in its ranks, they are all fighting for a fairer world.","Formée il y a peu de temps, la faction des Partisans des Croquants réunit déjà beaucoup de monde. André voulait soutenir les paysans rebelles français, qui se révoltaient contre la pression fiscale et l'exploitation subie des élites locales. Certes, cette faction compte bon nombre de nobles dans ses rangs, mais tous se battent pour un monde plus juste.",
FA_SDL_PRO1_NAME,Supporters of the Croquants,Les Partisans des Croquants,
FA_SDL_PRO2_CHIEF,Guillaume,Guillaume,
FA_SDL_PRO2_LORE,"The citizens of Saint-Antoine specialize in woodworking: carvers, cabinetmakers and joiners make up the majority of the population. Their leader, Guillaume, is constantly opening new luxury furniture factories in different towns, to expand their activities and increase their wealth.","Les Citoyens de Saint-Antoine sont spécialisés dans le travail du bois : sculpteurs, ébénistes et menuisiers forment la majorité des habitants. Leur dirigeant, Guillaume, s'assure de toujours ouvrir de nouvelles manufactures de meubles de luxes dans différentes villes, afin d'étendre leurs activités et accroître leur richesse.",
FA_SDL_PRO2_NAME,Citizens of Saint-Antoine,Les Citoyens de Saint-Antoine,
FA_SDL_PRO3_CHIEF,William,William,
FA_SDL_PRO3_LORE,"William is a famous silk weaver, the son and grandson of a weaver. With his family, they formed the People of Spitalfields, a faction that builds its fortune on their ancestral know-how. Their creations are highly appreciated in the country's highest political circles.","William est un très célèbre tisserand de soie, fils et petit-fils de tisserand. Avec sa famille, ils ont formé les Habitants de Spitalfields, une faction qui bâtit sa fortune sur leur savoir-faire ancestral. Leurs créations sont très appréciées dans les plus hautes sphères politiques du pays.",
FA_SDL_PRO3_NAME,People of Spitalfields,Les Habitants de Spitalfields,
FA_SDL_PRO4_CHIEF,Aisling,Aisling,
FA_SDL_PRO4_LORE,The Covent Garden Vendors are extremely popular in their home town. They form an alliance of traders specializing in the production and sale of seasonal fruit and vegetables. Their high-quality products meet the demands of residents from all social classes.,Les Vendeurs du Covent Garden sont extrêmement populaires dans leur ville d'origine. Ils forment une alliance de commerçants spécialisés dans la production et vente de fruits et légumes de saison. Leurs produits qualitatifs répondent à la demande des habitants de toutes classes sociales.,
FA_SDL_PRO4_NAME,Covent Garden Vendors,Les Vendeurs du Covent Garden,
FA_SDL_PRO5_CHIEF,Juan,Juan,
FA_SDL_PRO5_LORE,"Hailing from a small Spanish town, Juan and his family criss-crossed their country's biggest markets. Moving from town to town, they sold well-crafted, affordable products: fabrics, shawls, sheets, even dresses, skirts and silk stockings. The Mercado's Loved Ones now want to open new sales centers in other countries to extend their influence.","Originaires d'une petite ville espagnole, Juan et sa famille ont sillonné les plus grands marchés de leur pays. Allant de villes en villes, ils vendaient des produits travaillés et accessibles : étoffes, châles, draps, et même des robes, jupes et bas de soie. Les Aimés du Mercado veulent désormais ouvrir de nouveaux centres de vente dans les autres pays afin d'étendre leur influence.",
FA_SDL_PRO5_NAME,Mercado's Loved Ones,Les Aimés du Mercado,
FA_SDL_PRO6_CHIEF,Nikolaus,Nikolaus,
FA_SDL_PRO6_LORE,"Little known to our intelligence services, the Pachtbauern Community is made up of a large number of farmers who used to rent land in their homeland in exchange for rent in kind or in cash. Today, demand is not so strong, and Nikolaus is trying to settle in other countries.","Peu connus de nos services de renseignement, la Communauté des Pachtbauern regroupe de nombreux paysans, qui louaient des terres dans leur pays en échange d'un loyer en nature ou en argent. Aujourd'hui, la demande n'est plus aussi forte, et Nikolaus essaye de s'installer dans d'autres pays.",
FA_SDL_PRO6_NAME,The Pachtbauern Community,La Communauté des Pachtbauern,
FA_SDL_REL1_CHIEF,Michel,Michel,
FA_SDL_REL1_LORE,"Michel has dedicated his life to the poor and sick. He founded the Confrérie du Saint-Sacrement, and helps them every day. Their values are Honor, Reverence and Solemnity.","Michel a dédié sa vie aux pauvres et malades. Il a fondé la Confrérie du Saint-Sacrement, et leur viennent en aide tous les jours. Leurs valeurs sont Honneur, Révérence et Solennité.",
FA_SDL_REL1_NAME,The Brotherhood of the Blessed Sacrament,La Confrérie du Saint-Sacrement,
FA_SDL_REL2_CHIEF,Thomas,Thomas,
FA_SDL_REL2_LORE,"Originating in England, the Quakers advocated simplicity, equality and peace. Thomas calls them an influential faction, as certain social and religious movements in their country followed their humanitarian and abolitionist ideas.","Venus d'Angleterre, les Quakers prônent la simplicité, l'égalité et la paix. Thomas les qualifie de faction influente, car certains mouvements sociaux et religieux de leur pays ont suivi leurs idées humanitaires et abolitionnistes.",
FA_SDL_REL2_NAME,Religious Society of Friends,Les Quakers,
FA_SDL_REL3_CHIEF,Anne,Anne,
FA_SDL_REL3_LORE,The Daughters of Charity are dedicated to charitable works and to caring for the most disadvantaged. Anne was appointed head of this faction because of her unwavering commitment to care and social services in various parts of the world.,Les Filles de la Charité sont dédiées aux œuvres caritatives et à la prise en charge des plus démunis. Anne a été promue cheffe de cette faction en raison de son engagement sans failles dans les différents soins et services sociaux dans diverses contrées.,
FA_SDL_REL3_NAME,Daughters of Charity,Les Filles de la Charité,
FA_SDL_REL4_CHIEF,Reinhold,Reinhold,
FA_SDL_REL4_LORE,"Little recorded in our archives, the stories surrounding the Mysticists are hazy. Led by Reinhold, these citizens worshipped Christian mystics such as Saint John of the Cross and Saint Teresa of Avila.","Peu relatés dans nos archives, les histoires entourant les Mysticistes sont floues. Dirigés par Reinhold, ces citoyens adulent des figures mystiques chrétiennes, comme Saint-Jean de la Croix ou Sainte-Thérèse d'Avila.",
FA_SDL_REL4_NAME,The Mysticists,Les Mysticistes,
FA_SDL_REL5_CHIEF,Francesco,Francesco,
FA_SDL_REL5_LORE,"Although the Ursulines were a female religious congregation, their leader was an honest and saintly man, Francesco. These women dedicated their lives to the education of young girls, to make them perfect wives or nuns.","Bien que les Ursulines soit une congrégation religieuse féminine, leur dirigeant est un honnête et saint homme, Francesco. Ces femmes dédiaient leur vie à l'éducation des jeunes filles, afin d'en faire de parfaites épouses ou religieuses.",
FA_SDL_REL5_NAME,Ursulines of the Roman Union,Les Ursulines de l'Union Romaine,
FA_SDL_REL6_CHIEF,Fyodor,Fyodor,
FA_SDL_REL6_LORE,"The Order of St. Paul the First Hermit is a small monastic community born in countries to the east of the world. Their leader Fyodor wishes to practice solitude and prayer, in order to raise the consciousness of all his citizens.","L'Ordre de Saint-Paul le Premier Ermite est une petite communauté monastique née dans des pays à l'est du monde. Leur chef Fyodor souhaite pratiquer la solitude et la prière, afin d'élever la conscience de tous ses citoyens.",
FA_SDL_REL6_NAME,Order of Saint Paul the First Hermit,L'Ordre de Saint-Paul le Premier Ermite,
FA_TRUST,Trust level at arrival: [VALUE]%,Taux de confiance à l'arrivée : [VALUE]%,
FA_WORLD_EFFECT_TOOLTIP,"Accepting a <color=#e4cd9b>faction</color> <sprite=22> in your city unlocks a myriad of possibilities within the city, but can also impact the outside world.
<sprite=18> Cultural influence <sprite=86> will increase accordingly, as outside cities will consider your power growing.
<sprite=18> From the Middle Ages onwards <sprite=31>, some political authorities will appreciate seeing the expansion of their culture in your city. Others, on the other hand, will lose trust in you because they see you as weakening them. ","Accepter une <color=#e4cd9b>factions</color> <sprite=22> dans sa ville permet de débloquer une myriade de possibilités dans la ville, mais peut également impacter le monde extérieur.
<sprite=18> L'influence culturelle <sprite=86> augmentera en conséquence, car les villes extérieures considèreront que votre puissance augmente.
<sprite=18> À partir du Moyen Âge <sprite=31>, certaines autorités politiques apprécieront de voir l'expansion de leur culture dans votre ville. D'autres, au contraire, perdront de la confiance à votre égard parce que considèreront que vous les affaiblissez.",
FE_FEELINGLOG_WINDOW_TITLE,The book of Satisfactions,Livre des Satisfactions,
FE_HELP_FEELING_DESC,"Reflecting society, <color=#4ba38a>satisfactions</color> <sprite=95> are regulated by several factors. They directly influence the production and <color=#10df8a>attractiveness</color> <sprite=28>of the city.","Reflet de la société, les <color=#4ba38a>satisfactions</color> <sprite=95> sont régulées par plusieurs facteurs. Ils influencent directement la production et l'<color=#10df8a>attractivité</color> <sprite=28> de la ville.",
FE_INFO_BADGE_TITLE,Satisfactions impact,Impact de la satisfaction,
FE_INFO_NEGATIVE_AGGRESSION,<color=#A8966D>Cycle [VALUE] <sprite=42>: </color>An assault <sprite=48> has taken place in a small district of the city. (<color=#B7644C>[VALUE2]</color>),<color=#A8966D>Cycle [VALUE] <sprite=42> :</color> Une agression <sprite=48> a eu lieu dans un petit quartier de la ville. (<color=#B7644C>[VALUE2]</color>),
FE_INFO_SATISFACTION_CULTURAL,cultural buildings,bâtiments culturels,
FE_INFO_SATISFACTION_DECREE,<color=#ce7bba>decrees</color> <sprite=21>,<color=#ce7bba>décrets</color> <sprite=21>,
FE_INFO_SATISFACTION_EVENTS,events,événements,
FE_INFO_SATISFACTION_FACTIONS,<color=#e4cd9b>factions</color> <sprite=22>,<color=#e4cd9b>factions</color> <sprite=22> ,
FE_INFO_SATISFACTION_FEELINGS,bonus of <color=#4ba38a>satisfaction</color> <sprite=95>,bonus de <color=#4ba38a>satisfaction</color> <sprite=95>,
FE_INFO_SATISFACTION_FUNCTIONS,service buildings,bâtiments de service,
FE_INFO_SATISFACTION_HERO,heroes,héros,
FE_INFO_SATISFACTION_INCIDENT,assaults <sprite=48>,aggressions <sprite=48>,
FE_INFO_SATISFACTION_INCOMING,[NAME] gave you <color=#05BB17>+[VALUE2]</color> points.,Les [NAME] vous ont apporté <color=#05BB17>+[VALUE2]</color> points.,
FE_INFO_SATISFACTION_LOSS,The [NAME] took away <color=#B7644C>-[VALUE2]</color> points.,Les [NAME] vous ont retiré <color=#B7644C>-[VALUE2]</color> points.,
FE_INFO_SATISFACTION_RAMPART,ramparts <sprite=85>,remparts <sprite=85> ,
FE_INFO_SATISFACTION_STARVATION,famines,famines,
FE_INFO_SATISFACTION_WONDER,Wonders,Merveilles,
FE_INFO_TOTAL_FEELINGS_VALUE_VALUE,Total value to be reached to satisfy the entire <color=#ffffdf>population</color> <sprite=81>: [VALUE] / [VALUE2].,Valeur totale à atteindre pour satisfaire toute la <color=#ffffdf>population</color> <sprite=81> : [VALUE] / [VALUE2],
FE_TOOLTIP_WARNING_BELONGING,The <color=#ffffdf>citizens</color> <sprite=81> feel isolated and lonely because their <color=#4ba38a>belonging</color> <sprite=92> is too low.,"Les <color=#ffffdf>citoyens</color> <sprite=81> se sentent seuls et isolés, car leur <color=#4ba38a>appartenance</color> <sprite=92> est trop faible.",
FE_TOOLTIP_WARNING_CREATIVITY,The <color=#ffffdf>citizens</color> <sprite=81> are too bored because their <color=#4ba38a>creativity</color> <sprite=94> is too low.,"Les <color=#ffffdf>citoyens</color> <sprite=81> s'ennuient, car leur <color=#4ba38a>créativité</color> <sprite=94> est trop faible.",
FE_TOOLTIP_WARNING_ESTEEM,The <color=#ffffdf>citizens</color> <sprite=81> have no trust in themselves because their <color=#4ba38a>esteem</color> <sprite=93> is too low.,"Les <color=#ffffdf>citoyens</color> <sprite=81> n'ont pas confiance en eux, car leur <color=#4ba38a>estime</color> <sprite=93> est trop faible.",
FE_TOOLTIP_WARNING_PHYSIO,The <color=#ffffdf>citizens</color> <sprite=81> are in poor health because their <color=#4ba38a>health</color> <sprite=90> is too low. ,"Les <color=#ffffdf>citoyens</color> <sprite=81> sont en mauvaise santé, car leur <color=#4ba38a>santé</color> <sprite=90> est trop faible. ",
FE_TOOLTIP_WARNING_SAFETY,"The <color=#ffffdf>citizens</color> <sprite=81> live in fear, because their <color=#4ba38a>safety</color> <sprite=91> is too low.","Les <color=#ffffdf>citizens</color> <sprite=81> vivent dans la peur, car leur <color=#4ba38a>sécurité</color> <sprite=91> est trop faible.",
FE_WINDOW_SELECTION_2_FEELINGS,Adapt all [NAME] to meet an additional <color=#ffffdf>population</color> <sprite=81> <color=#4ba38a>satisfaction</color> <sprite=95>.,Aménagez les [NAME] afin qu'ils répondent à une <color=#4ba38a>satisfaction</color> <sprite=95> supplémentaire pour la <color=#ffffdf>population</color> <sprite=81>. ,
FE_WINDOW_SELECTION_3_FEELINGS,Adapt all [NAME] to meet two additional <color=#ffffdf>population</color> <sprite=81> <color=#4ba38a>satisfactions</color> <sprite=95>.,Aménagez les [NAME] afin qu'ils répondent à deux <color=#4ba38a>satisfactions</color> <sprite=95> supplémentaires pour la <color=#ffffdf>population</color> <sprite=81>. ,
FE_WINDOW_SELECTION_DESC,"The first [NAME] of your reign has been built. Choose the additional <color=#4ba38a>Satisfactions</color> <sprite=95> on which the building should take effect.The values will be fixed for each occurrence of [NAME]. 
Note that the strength of the <color=#4ba38a>Satisfactions</color> <sprite=95> chosen depends in the order in which you selected them.","Le premier [NAME] de votre règne a été construit. Choisissez les <color=#4ba38a>Satisfactions</color> <sprite=95> supplémentaires sur lesquelles le bâtiment doit faire effet. Les valeurs seront fixes pour chaque occurence de [NAME]. 
Notez que la force des <color=#4ba38a>Satisfactions</color> <sprite=95> choisies dépend de l'ordre dans lesquelles vous les avez sélectionnées.",
FILTRE_ATTRACTION_REPULSION_TITLE,Attraction and disturbances,Attraction et perturbations,
FILTRE_ATTRACTIVE_DESC,Highly attractive zone,Zone très attractive,
FILTRE_NEUTRAL_DESC,Neutral zone,Zone neutre,
FILTRE_POLITIC_DISTRICT_DESC,"This filter lets you quickly see the different cultures in your city and the districts inhabited by a faction. You also have access to more detailed information, such as district planning rules, and the status of the faction: in tension, at peace, trusting or distrustful.","Ce filtre vous permet de rapidement voir les différentes cultures de votre ville et les quartiers habités par une faction. Vous avez également accès à des informations plus poussées, comme les règles d'urbanisme des quartiers et l'état de la faction : en tension, en paix, confiante ou méfiante.",
FILTRE_POLITIC_DISTRICT_ICONS_CONFLIT,Faction in tension/at peace with district,Faction en tension / en paix avec le voisinage,
FILTRE_POLITIC_DISTRICT_ICONS_TRUST,Positive or negative faction trust,Confiance positive ou négative de la faction,
FILTRE_POLITIC_DISTRICT_SUBTITLE,Neighborhood well-being,Bien-être des différents quartiers,
FILTRE_POLITIC_DISTRICT_TITLE,Neighborhood filter,Filtre des quartiers,
FILTRE_POLITIC_DISTRICT_WITH,With factions,Avec factions,
FILTRE_POLITIC_DISTRICT_WITHOUT,Without factions,Sans factions,
FILTRE_POLITIC_FACTION_TITLE,Faction filter,Filtre de faction,
FILTRE_POLITIC_PRODUCTION_CULTURE_POINTS,Culture points,Points de culture,
FILTRE_POLITIC_PRODUCTION_DESC,This filter allows you to keep a close eye on the different districts. You can see which districts are the most profitable when providing gold coins or culture points.,Ce filtre vous permet de garder les différents quartiers sous bonne garde. Vous pouvez observer quels quartiers sont les plus rentables lorsqu'ils fournissent des pièces d'or ou points de culture.,
FILTRE_POLITIC_PRODUCTION_SUBTITLE,Gold coins and culture points,Pièces d'or et points de culture,
FILTRE_POLITIC_PRODUCTION_TIPS,The factions in place in the cultural districts produce Culture Points and gold coins. It's important to know which factions are the most profitable in the city.,Les factions en place dans les quartiers culturels produisent des Points de culture et des pièces d'or. Il est important de connaître les factions les plus rentables de la ville.,
FILTRE_POLITIC_PRODUCTION_TITLE,Production filter,Filtre de production,
FILTRE_POPULATION_ATTRACTION_DESC,"This filter lets you observe and analyze attractive and repulsive zones, as well as their causes. The values will have a direct impact on the formation of your city and new housing.","Ce filtre vous permet d'observer et analyser les zones attractives, répulsives, ainsi que leurs causes. Les valeurs auront un impact direct sur la formation de votre ville et les nouvelles habitations.",
FILTRE_POPULATION_ATTRACTION_SUBTITLE,Desirability of the city,Désirabilité de la ville,
FILTRE_POPULATION_ATTRACTION_TITLE,Attraction filter,Filtre d'attraction,
FILTRE_POPULATION_DENSITY_CITIZENS,Citizens filter,Densité des citoyens,
FILTRE_POPULATION_DENSITY_DESC,"The denser the neighbourhood, the more likely it is to be affected by incidents. It's always a good idea to keep an eye on the areas with the most residents.","Plus un quartier est dense, plus il est sujet aux différents risques d'incidents. Garder un œil sur les périmètres avec le plus de citoyens est toujours une judicieuse idée.",
FILTRE_POPULATION_DENSITY_EMPTY,Empty space,Espace vide,
FILTRE_POPULATION_DENSITY_SUBTITLE,Citizens and wanderers,Citoyens et vagabonds,
FILTRE_POPULATION_DENSITY_TITLE,Density filter,Filtre de densité,
FILTRE_POPULATION_DENSITY_WANDERERS,Wanderers density,Densité des vagabonds,
FILTRE_REPULSIVE_DESC,Highly repulsive zone,Zone très répulsive,
FILTRE_RESOURCES_NATURE_DESC,"This filter lets you observe the different deposits on the map. Some will be more important than others, and could be useful in defining your strategy.","Ce filtre vous permet d'observer les différents gisements sur la carte. Certains seront plus importants que d'autres, et pourraient être utiles pour définir votre stratégie.",
FILTRE_RESOURCES_NATURE_MINE,Mines,Les mines,
FILTRE_RESOURCES_NATURE_QUARRY,Quarries,Les carrières,
FILTRE_RESOURCES_NATURE_SUBTITLE,In the ground or outside,Dans le sol ou à l'extérieur,
FILTRE_RESOURCES_NATURE_TITLE,Natural resources,Ressources naturelles,
FILTRE_RESOURCES_NATURE_WOOD,Foresters,Forestiers,
FILTRE_RESOURCES_TITLE,Resources,Ressources,
FILTRE_ZONE_CHEVAUCHEMENT_ANT_MA,Antiquity + Middle Ages,Antiquité + Moyen Âge,
FILTRE_ZONE_CHEVAUCHEMENT_DESC,This filter lets you understand the different consequences of overlap zones generated by town centers. These values will have a direct impact on the formation of your town and new housing.,Ce filtre vous permet de comprendre les différentes conséquences des zones de chevauchement générées par les centres-villes. Ces valeurs auront un impact direct sur la formation de votre ville et les nouvelles habitations.,
FILTRE_ZONE_CHEVAUCHEMENT_SUBTITLE,Their impact on city development,Leur impact sur le développement de la ville,
FILTRE_ZONE_CHEVAUCHEMENT_TIPS,"Overlapping areas have an impact on the development of the town: changes to town planning rules, bonuses on cultural building developments, etc. This filter allows you to view them, but also to sort overlaps by age.","Les zones de chevauchement ont des impacts sur le développement de la ville : modification des règles d'urbanisme, bonus sur les évolutions de bâtiments culturels, etc. Ce filtre permet de les visualiser, mais également de trier les chevauchements en fonction des âges.",
FILTRE_ZONE_CHEVAUCHEMENT_TITLE,Overlap zones,Zones de chevauchement,
FO_KH_IMPOSSIBLE_NO_AVAILABLE,All the <color=#03c2ec>know-how</color> <sprite=25> has already been discovered.,Tous les <color=#03c2ec>savoir-faire</color> <sprite=25> ont déjà été découverts.,
FO_KH_IMPOSSIBLE_NO_WORKERS,There are not enough <color=#ffffdf>workers</color> <sprite=82> available to carry out this action.,Il n'y a pas assez de <color=#ffffdf>travailleurs</color> <sprite=82> disponibles pour effectuer cette action.,
FO_KH_LEFT_PANEL_NAME,Active know-how,Savoir-faire actifs,
FO_KH_NO_ONE_SELECTED,No skills selected.,Pas de savoir-faire sélectionné.,
FO_KH_OBTAIN_BUILDING,This <color=#03c2ec>know-how</color> <sprite=25> of [AGE] is obtained at the construction of [NAME] not combined.,Ce <color=#03c2ec>savoir-faire</color> <sprite=25> du [AGE] est obtenu à la construction du [NAME] non combiné.,
FO_KH_PANEL_NAME,The Library,La Bibliothèque,
FO_KH_REMOVE_SPECIFIC,Removes the active <color=#03c2ec>know-how</color> <sprite=25>,Enlève le <color=#03c2ec>savoir-faire</color> <sprite=25> actif,
FO_KH_RIGHT_PANEL_ACTIVE_NO,Its effect is not active.,Son effet n'est pas actif.,
FO_KH_RIGHT_PANEL_ACTIVE_YES,Its effect is active.,Son effet est actif.,
FO_KH_RIGHT_PANEL_FORGET,The <color=#03c2ec>know-how</color> <sprite=25> is forgotten.,Le <color=#03c2ec>savoir-faire</color> <sprite=25> est oublié.,
FO_KH_RIGHT_PANEL_NEVER,The <color=#03c2ec>know-how</color> <sprite=25> was never obtained.,Le <color=#03c2ec>savoir-faire</color> <sprite=25> n'a jamais été obtenu.,
FO_KH_RIGHT_PANEL_OBTAIN,Obtained,Obtention,
FO_KH_RIGHT_PANEL_STATE,Status,État,
FO_KH_RIGHT_PANEL_UNLOCK,The skill is unlocked.,Le savoir-faire est débloqué.,
FO_KH_RIGHT_PANEL_WARNING,The skill cannot be activated because there is no free slot.,"Le savoir-faire ne peut pas être activé, car il n'y a pas d'emplacement libre.",
FO_KH_SLOTS,Available slots: [VALUE] / [MAX],Emplacements disponibles : [VALUE] / [MAX],
FO_KH_SLOTS_NEEDED,[VALUE] slot(s),[VALUE] emplacement(s),
FO_KH_SLOTS_NEEDED_LONG,[VALUE] slot(s) needed,[VALUE] emplacement(s) nécessaire(s),
FO_KH_STATE_AVAILABLE,Available,Disponible,
FO_KH_STATE_FORGET,Forgotten,Oublié,
FO_KH_STATE_NO_BUILT,Unavailable not built,"Indisponible, car pas construit",
FO_KH_STATE_NO_RESEARCH,Unavailable not searched,"Indisponible, car pas recherché",
FO_KH_TOOLTIP_REMOVE_ALL,Resets the active skills,Réinitialise les savoir-faire actifs,
FO_RU_CITIZENS_ACTUALS_DESC,Number of <color=#ffffdf>wanderers</color> <sprite=84> total integrated thanks to this district: [VALUE],Nombre de <color=#ffffdf>vagabonds</color> <sprite=84> total intégrés grâce à ce quartier : [VALUE],
